experiment,particles,block_size,num_blocks,threads,total_steps,time
particles,100,256,1,256,1000,0.04153333333333333
particles,500,256,2,512,1000,0.07946166666666667
particles,1000,256,4,1024,1000,0.14187733333333333
particles,2000,256,8,2048,1000,0.2768836666666667
particles,5000,256,20,5120,1000,0.6820163333333333
particles,10000,256,40,10240,1000,1.3621633333333332
block_size,5000,32,157,5024,1000,0.6936146666666666
block_size,5000,64,79,5056,1000,0.6680666666666667
block_size,5000,128,40,5120,1000,0.649709
block_size,5000,256,20,5120,1000,0.6820386666666667
block_size,5000,512,10,5120,1000,0.8940070000000001
block_size,5000,1024,5,5120,1000,1.7586896666666665
num_blocks,5000,256,1,256,1000,0.6815666666666665
num_blocks,5000,256,2,512,1000,0.6815973333333334
num_blocks,5000,256,4,1024,1000,0.6817936666666666
num_blocks,5000,256,8,2048,1000,0.6818609999999999
num_blocks,5000,256,16,4096,1000,0.6819733333333334
num_blocks,5000,256,32,8192,1000,0.6821996666666666
num_blocks,5000,256,64,16384,1000,0.684174
num_blocks,5000,256,128,32768,1000,0.6866213333333334
