experiment,particles,num_threads,total_steps,time
particles,100,4,1001,0.022305000000000002
particles,200,4,1001,0.033792333333333334
particles,500,4,1001,0.09885499999999998
particles,1000,4,1001,0.31004766666666667
particles,2000,4,1001,1.169915
particles,5000,4,1001,7.517173333333333
threads,1000,1,1001,1.116743
threads,1000,2,1001,0.5762673333333334
threads,1000,4,1001,0.31128333333333336
threads,1000,6,1001,0.229666
threads,1000,8,1001,0.30840866666666666
threads,1000,10,1001,0.26980733333333334
scalability,500,1,1001,0.279532
scalability,500,2,1001,0.156
scalability,500,4,1001,0.09864566666666667
scalability,500,8,1001,0.11856699999999999
scalability,1000,1,1001,1.0911723333333334
scalability,1000,2,1001,0.574442
scalability,1000,4,1001,0.31011866666666665
scalability,1000,8,1001,0.3077703333333333
scalability,2000,1,1001,4.387538
scalability,2000,2,1001,2.304731
scalability,2000,4,1001,1.1799786666666667
scalability,2000,8,1001,1.0015653333333334
