threads,total_ops,search_pct,insert_pct,time,implementation
1,10000,0.80,0.10,1.300120e-02,stdlib
1,10000,0.80,0.10,1.252413e-02,custom
2,10000,0.80,0.10,1.939607e-02,stdlib
2,10000,0.80,0.10,1.689601e-02,custom
4,10000,0.80,0.10,2.110004e-02,stdlib
4,10000,0.80,0.10,2.118301e-02,custom
8,10000,0.80,0.10,2.004004e-02,stdlib
8,10000,0.80,0.10,3.186989e-02,custom
1,10000,0.90,0.05,9.513855e-03,stdlib
1,10000,0.90,0.05,9.048939e-03,custom
2,10000,0.90,0.05,1.195884e-02,stdlib
2,10000,0.90,0.05,1.153684e-02,custom
4,10000,0.90,0.05,1.267290e-02,stdlib
4,10000,0.90,0.05,1.534820e-02,custom
8,10000,0.90,0.05,1.375294e-02,stdlib
8,10000,0.90,0.05,2.040291e-02,custom
1,10000,0.99,0.01,6.648064e-03,stdlib
1,10000,0.99,0.01,6.447077e-03,custom
2,10000,0.99,0.01,4.435062e-03,stdlib
2,10000,0.99,0.01,4.907131e-03,custom
4,10000,0.99,0.01,3.806114e-03,stdlib
4,10000,0.99,0.01,3.953934e-03,custom
8,10000,0.99,0.01,4.419088e-03,stdlib
8,10000,0.99,0.01,4.080057e-03,custom
1,50000,0.80,0.10,2.132430e-01,stdlib
1,50000,0.80,0.10,2.114170e-01,custom
2,50000,0.80,0.10,2.043350e-01,stdlib
2,50000,0.80,0.10,1.961231e-01,custom
4,50000,0.80,0.10,1.992631e-01,stdlib
4,50000,0.80,0.10,1.867280e-01,custom
8,50000,0.80,0.10,2.088649e-01,stdlib
8,50000,0.80,0.10,2.008200e-01,custom
1,50000,0.90,0.05,1.167779e-01,stdlib
1,50000,0.90,0.05,1.177299e-01,custom
2,50000,0.90,0.05,1.112289e-01,stdlib
2,50000,0.90,0.05,1.068780e-01,custom
4,50000,0.90,0.05,1.079490e-01,stdlib
4,50000,0.90,0.05,9.807396e-02,custom
8,50000,0.90,0.05,1.096261e-01,stdlib
8,50000,0.90,0.05,1.074018e-01,custom
1,50000,0.99,0.01,3.989720e-02,stdlib
1,50000,0.99,0.01,4.107213e-02,custom
2,50000,0.99,0.01,2.822495e-02,stdlib
2,50000,0.99,0.01,2.798891e-02,custom
4,50000,0.99,0.01,2.346706e-02,stdlib
4,50000,0.99,0.01,2.246594e-02,custom
8,50000,0.99,0.01,2.623296e-02,stdlib
8,50000,0.99,0.01,2.445602e-02,custom
1,100000,0.80,0.10,8.530939e-01,stdlib
1,100000,0.80,0.10,8.356709e-01,custom
2,100000,0.80,0.10,7.593279e-01,stdlib
2,100000,0.80,0.10,7.409000e-01,custom
4,100000,0.80,0.10,6.650929e-01,stdlib
4,100000,0.80,0.10,6.006720e-01,custom
8,100000,0.80,0.10,6.588221e-01,stdlib
8,100000,0.80,0.10,5.800440e-01,custom
1,100000,0.90,0.05,4.208081e-01,stdlib
1,100000,0.90,0.05,4.199860e-01,custom
2,100000,0.90,0.05,3.647799e-01,stdlib
2,100000,0.90,0.05,3.360438e-01,custom
4,100000,0.90,0.05,3.030791e-01,stdlib
4,100000,0.90,0.05,2.593029e-01,custom
8,100000,0.90,0.05,3.012559e-01,stdlib
8,100000,0.90,0.05,2.668450e-01,custom
1,100000,0.99,0.01,1.176360e-01,stdlib
1,100000,0.99,0.01,1.066670e-01,custom
2,100000,0.99,0.01,6.608200e-02,stdlib
2,100000,0.99,0.01,6.249404e-02,custom
4,100000,0.99,0.01,4.639101e-02,stdlib
4,100000,0.99,0.01,4.344583e-02,custom
8,100000,0.99,0.01,5.070305e-02,stdlib
8,100000,0.99,0.01,4.233289e-02,custom
